
Metric Pitches
------------------------------------------------------------------------------------------------------------------------
  mm 	 ratio 		 Gearsets
0.150	(21.167) 	->	[22.812 -> [[20, 20, 22] : [50, 55, 73]]]
0.200	(15.875) 	->	[16.295 -> [[20, 22, 28] : [50, 55, 73]]]
0.250	(12.700) 	->	[12.714 -> [[20, 20, 30] : [38, 55, 73]]]
0.300	(10.583) 	->	[10.618 -> [[20, 20, 22] : [32, 40, 73]]]
0.350	(9.071) 	->	[9.082 -> [[20, 28, 30] : [38, 55, 73]]]
0.400	(7.937) 	->	[7.946 -> [[20, 30, 32] : [38, 55, 73]]]
0.450	(7.056) 	->	[7.079 -> [[20, 22, 30] : [32, 40, 73]]]
0.500	(6.350) 	->	[6.357 -> [[20, 30, 40] : [38, 55, 73]]]
0.600	(5.292) 	->	[5.301 -> [[20, 28, 32] : [38, 50, 50]]]
0.700	(4.536) 	->	[4.541 -> [[28, 30, 40] : [38, 55, 73]]]
0.750	(4.233) 	->	[4.241 -> [[20, 28, 32] : [38, 40, 50]]]
0.800	(3.969) 	->	[3.972 -> [[28, 38, 38] : [40, 55, 73]], 3.973 -> [[30, 32, 40] : [38, 55, 73]], 3.969 -> [[22, 38, 55] : [50, 50, 73]], 3.971 -> [[20, 20, 50] : [38, 38, 55]]]
1.000	(3.175) 	->	[3.175 -> [[22, 38, 55] : [40, 50, 73]], 3.179 -> [[30, 32, 50] : [38, 55, 73]], 3.174 -> [[30, 38, 38] : [50, 50, 55]], 3.178 -> [[28, 38, 38] : [32, 55, 73]]]
1.250	(2.540) 	->	[2.539 -> [[30, 38, 38] : [40, 50, 55]], 2.543 -> [[20, 30, 40] : [22, 38, 73]], 2.540 -> [[22, 38, 55] : [32, 50, 73]]]
1.500	(2.117) 	->	[2.118 -> [[20, 20, 40] : [22, 28, 55]], 2.121 -> [[20, 28, 32] : [20, 38, 50]]]
1.750	(1.814) 	->	[1.814 -> [[20, 22, 40] : [28, 30, 38]], 1.816 -> [[32, 38, 40] : [22, 55, 73]], 1.816 -> [[28, 30, 40] : [22, 38, 73]], 1.813 -> [[20, 30, 73] : [38, 38, 55]], 1.815 -> [[20, 20, 50] : [22, 30, 55]]]
